Project Name                                    ,prefix       ,num issues,All Comments,Average comments  ,Issues with comments,Average commented issue,Min comment,Max comment,Percentage of issues without comments
Abdera                                          ,ABDERA       ,311       ,635         ,2.0418006430868165,256                 ,2.48046875             ,0          ,18         ,0.17684887459807075
Accumulo                                        ,ACCUMULO     ,4745      ,22728       ,4.789884088514225 ,3733                ,6.08840075006697       ,0          ,113        ,0.21327713382507904
ACE                                             ,ACE          ,539       ,1695        ,3.144712430426716 ,503                 ,3.3697813121272366     ,0          ,18         ,0.06679035250463822
ActiveMQ                                        ,AMQ          ,7140      ,22475       ,3.1477591036414565,6459                ,3.4796408112710946     ,0          ,58         ,0.0953781512605042
Airavata                                        ,AIRAVATA     ,3282      ,8698        ,2.6502132845825717,2662                ,3.267468069120962      ,0          ,107        ,0.18890920170627665
Ambari                                          ,AMBARI       ,25186     ,82573       ,3.278527753513857 ,22913               ,3.6037620564744905     ,0          ,100        ,0.09024855078218058
Anakia                                          ,ANAKIA       ,8         ,14          ,1.75              ,6                   ,2.3333333333333335     ,0          ,4          ,0.25
Archiva                                         ,MRM          ,1976      ,5234        ,2.6487854251012144,1673                ,3.1285116557083086     ,0          ,70         ,0.1533400809716599
Aries                                           ,ARIES        ,1968      ,4660        ,2.3678861788617884,1477                ,3.1550440081245767     ,0          ,36         ,0.24949186991869918
Axiom                                           ,AXIOM        ,496       ,1765        ,3.558467741935484 ,468                 ,3.7713675213675213     ,0          ,66         ,0.056451612903225805
Axis2                                           ,AXIS         ,5877      ,17574       ,2.9903011740684025,5393                ,3.2586686445392177     ,0          ,52         ,0.0823549429981283
Beam                                            ,BEAM         ,9358      ,21212       ,2.2667236589014745,5570                ,3.808258527827648      ,0          ,111        ,0.40478734772387265
Beehive                                         ,BEEHIVE      ,1231      ,3972        ,3.2266450040617385,1157                ,3.433016421780467      ,0          ,21         ,0.06011372867587327
Bigtop                                          ,BIGTOP       ,3313      ,18196       ,5.492303048596439 ,3018                ,6.0291583830351225     ,0          ,96         ,0.08904316329610625
Brooklyn                                        ,BROOKLYN     ,623       ,2574        ,4.131621187800963 ,455                 ,5.6571428571428575     ,0          ,127        ,0.2696629213483146
BVal                                            ,BVAL         ,179       ,597         ,3.335195530726257 ,154                 ,3.8766233766233764     ,0          ,15         ,0.13966480446927373
Calcite                                         ,CALCITE      ,3809      ,19128       ,5.021790496193226 ,3397                ,5.630850750662349      ,0          ,63         ,0.10816487266999213
Camel                                           ,CAMEL        ,14570     ,46830       ,3.2141386410432395,11618               ,4.0308142537441904     ,0          ,98         ,0.20260809883321895
CarbonData                                      ,CARBONDATA   ,3716      ,2292        ,0.6167922497308934,905                 ,2.532596685082873      ,0          ,51         ,0.7564585575888052
Cassandra                                       ,CASSANDRA    ,15493     ,105146      ,6.786677854514942 ,14445               ,7.2790584977500865     ,0          ,295        ,0.06764345188149487
Cayenne                                         ,CAY          ,2639      ,5101        ,1.9329291398256916,1850                ,2.7572972972972973     ,0          ,38         ,0.29897688518378174
Chemistry                                       ,CMIS         ,1083      ,2358        ,2.177285318559557 ,845                 ,2.7905325443786984     ,0          ,36         ,0.21975992613111728
Chukwa                                          ,CHUKWA       ,822       ,3649        ,4.4391727493917275,743                 ,4.9111709286675636     ,0          ,35         ,0.09610705596107055
Clerezza                                        ,CLEREZZA     ,1055      ,1830        ,1.7345971563981042,600                 ,3.05                   ,0          ,26         ,0.4312796208530806
Click                                           ,CLK          ,804       ,2277        ,2.832089552238806 ,745                 ,3.0563758389261744     ,0          ,32         ,0.07338308457711443
CloudStack                                      ,CLOUDSTACK   ,10305     ,63426       ,6.154876273653566 ,9062                ,6.999117192672699      ,0          ,531        ,0.12062105773896167
Cocoon                                          ,COCOON       ,2362      ,8284        ,3.5071972904318374,2158                ,3.838739573679333      ,0          ,52         ,0.0863674851820491
Commons BCEL                                    ,BCEL         ,330       ,1038        ,3.155015197568389 ,292                 ,3.5547945205479454     ,0          ,46         ,0.11246200607902736
Commons BeanUtils                               ,BEANUTILS    ,532       ,1787        ,3.365348399246704 ,491                 ,3.639511201629328      ,0          ,28         ,0.07532956685499058
Commons BSF                                     ,BSF          ,43        ,86          ,2.0               ,34                  ,2.5294117647058822     ,0          ,11         ,0.20930232558139536
Commons Chain                                   ,CHAIN        ,112       ,310         ,2.767857142857143 ,92                  ,3.369565217391304      ,0          ,30         ,0.17857142857142858
Commons CLI                                     ,CLI          ,303       ,1002        ,3.3069306930693068,265                 ,3.781132075471698      ,0          ,53         ,0.1254125412541254
Commons Codec                                   ,CODEC        ,277       ,1561        ,5.635379061371841 ,267                 ,5.846441947565543      ,0          ,99         ,0.036101083032490974
Commons Collections                             ,COLLECTIONS  ,694       ,2608        ,3.763347763347763 ,662                 ,3.9395770392749245     ,0          ,54         ,0.044733044733044736
Commons Compress                                ,COMPRESS     ,504       ,2454        ,4.888446215139442 ,476                 ,5.15546218487395       ,0          ,60         ,0.05179282868525897
Commons Configuration                           ,CONFIGURATION,775       ,2608        ,3.3651612903225807,741                 ,3.5195681511470984     ,0          ,31         ,0.04387096774193548
Commons Daemon                                  ,DAEMON       ,415       ,1337        ,3.221686746987952 ,397                 ,3.367758186397985      ,0          ,33         ,0.043373493975903614
Commons DBCP                                    ,DBCP         ,553       ,1731        ,3.1301989150090415,525                 ,3.297142857142857      ,0          ,26         ,0.05063291139240506
Commons DbUtils                                 ,DBUTILS      ,145       ,603         ,4.1875            ,137                 ,4.401459854014599      ,0          ,28         ,0.04861111111111111
Commons Digester                                ,DIGESTER     ,192       ,707         ,3.6822916666666665,178                 ,3.9719101123595504     ,0          ,33         ,0.07291666666666667
Commons Discovery                               ,DISCOVERY    ,21        ,124         ,5.904761904761905 ,19                  ,6.526315789473684      ,0          ,31         ,0.09523809523809523
Commons EL                                      ,EL           ,20        ,88          ,4.4               ,16                  ,5.5                    ,0          ,17         ,0.2
Commons Email                                   ,EMAIL        ,187       ,750         ,4.010695187165775 ,173                 ,4.335260115606936      ,0          ,17         ,0.0748663101604278
Commons Exec                                    ,EXEC         ,111       ,369         ,3.324324324324324 ,97                  ,3.804123711340206      ,0          ,29         ,0.12612612612612611
Commons FileUpload                              ,FILEUPLOAD   ,300       ,1180        ,3.933333333333333 ,287                 ,4.111498257839721      ,0          ,43         ,0.043333333333333335
Commons Functor                                 ,FUNCTOR      ,31        ,132         ,4.258064516129032 ,31                  ,4.258064516129032      ,1          ,26         ,0.0
Commons IO                                      ,IO           ,637       ,2249        ,3.5306122448979593,558                 ,4.030465949820789      ,0          ,86         ,0.12401883830455258
Commons JCI                                     ,JCI          ,77        ,225         ,2.9220779220779223,72                  ,3.125                  ,0          ,16         ,0.06493506493506493
Commons JCS                                     ,JCS          ,201       ,628         ,3.1243781094527363,177                 ,3.5480225988700567     ,0          ,19         ,0.11940298507462686
Commons Jelly                                   ,JELLY        ,291       ,873         ,3.0               ,257                 ,3.396887159533074      ,0          ,52         ,0.11683848797250859
Commons JEXL                                    ,JEXL         ,326       ,1346        ,4.128834355828221 ,322                 ,4.180124223602484      ,0          ,69         ,0.012269938650306749
Commons JXPath                                  ,JXPATH       ,195       ,517         ,2.651282051282051 ,183                 ,2.8251366120218577     ,0          ,45         ,0.06153846153846154
Commons Lang                                    ,LANG         ,1481      ,7187        ,4.856081081081081 ,1406                ,5.111664295874823      ,0          ,137        ,0.05
Commons Launcher                                ,LAUNCHER     ,12        ,17          ,1.4166666666666667,7                   ,2.4285714285714284     ,0          ,8          ,0.4166666666666667
Commons Logging                                 ,LOGGING      ,167       ,722         ,4.349397590361446 ,162                 ,4.45679012345679       ,0          ,38         ,0.024096385542168676
