Processing Engines
------------------
Project                      ,Categories by Apache                                     ,Category by studying documentation,Source                                                                     ,Reasoning
Beam                         ,big-data                                                 ,processing engine                 ,https://beam.apache.org/documentation/                                     ,Processing engine where you send a data model that then is processed using specific runners
Calcite                      ," big-data,  cloud,  network-server,  hadoop,  sql"      ,(data) processing engine          ,"https://calcite.apache.org/, https://en.wikipedia.org/wiki/Apache_Calcite",used to create databases and dbms application can connect to it at runtime
CarbonData                   ,big-data
Chukwa                       ,hadoop                                                   ,Data analysis                     ,https://chukwa.apache.org/docs/r0.6.0/Quick_Start_Guide.html               ,You integrate it to hadoop cluster to enhance monitoring                                   ,
cTAKES                       ," content,  library"                                     ,natural language processing system,http://ctakes.apache.org/                                                  ,cTakes is a natural language processing system
Daffodil        ,Big-data            ,library                                                                                           ,xml                                                                       ,Data analysis                                                                                                                                         ,https://daffodil.apache.org/   ,parses input into xml format. Example: csv file into xml format
Edgent          ,Big-data            ,mobile                                                                                            ,network-client                                                            ,library                                                                                                                                               ,Data analysis                  ,http://edgent.incubator.apache.org/docs/application-development.html,two options: one include edfent jars in your own jar and create uber-jar
Flink                        ,big-data                                                 ,processing engine                 ,https://flink.apache.org/flink-architecture.html                           ,
Flume                        ,big-data                                                 ,processing engine                 ,http://flume.apache.org/releases/content/1.9.0/FlumeDeveloperGuide.html    ,
FOP                          ,graphics                                                 ,processing engine                 ,https://xmlgraphics.apache.org/fop/                                        ,
Giraph                       ,big-data                                                 ,graph processing system/engine    ,http://giraph.apache.org/                                                  ,
Hadoop Common                ,no-category-identified                                   ,processing engine                 ,http://hadoop.apache.org/                                                  ,
Hadoop Development Tools     ,no-category-identified                                   ,                                  ,                                                                           ,
Hadoop Distributed Data Store,no-category-identified                                   ,                                  ,                                                                           ,
Hadoop HDFS                  ,no-category-identified                                   ,                                  ,                                                                           ,
Hadoop Map/Reduce            ,no-category-identified                                   ,                                  ,                                                                           ,
Hadoop YARN                  ,no-category-identified                                   ,                                  ,                                                                           ,
Hama                         ,big-data                                                 ,processing engine                 ,http://hama.apache.org/                                                    ,
Ignite          ,Big-data            ,cloud                                                                                             ,data-management-platform                                                  ,database                                                                                                                                              ,distributed-sql-database       ,hadoop                                                              ,iot                                                                     ,network-client,network-server             ,osgi                                                       ,sql,Data analysis,http://ignite.apache.org/,
Oozie           ,big-data            ,Data analysis                                                                                     ,http://oozie.apache.org/                                                  ,
Phoenix         ,Big-data            ,database                                                                                          ,Data analysis                                                             ,http://phoenix.apache.org/
Pig             ,database            ,Data analysis                                                                                     ,http://pig.apache.org/
Spark                        ,big-data                                                 ,processing engine                 ,http://spark.apache.org/                                                   ,
Stanbol         ,content             ,Data analysis                                                                                     ,http://stanbol.apache.org/                                                ,
Syncope                      ," security,  identity-management,  identity-provisioning",processing engine                 ,http://syncope.apache.org/                                                 ,
Zeppelin                     ,big-data                                                 ,processing engine                 ,http://zeppelin.apache.org/                                                ,

