Frameworks
----------
Project                      ,Categories by Apache                                                                                                                              ,Category by studying documentation              ,Source                                                                     ,Reasoning
Airavata                     ," Big-data,  cloud,  network-server"                                                                                                              ,Management framework (mircoservices)            ,http://airavata.apache.org/                                                ,it is a framework to manage micro services
Ambari                       ,big-data                                                                                                                                          ,management framework (hadoop)                   ,http://ambari.apache.org/                                                  ,it is a framework to manage huge hadoop clusters
Bigtop                       ,big-data                                                                                                                                          ,management framework (hadoop)                   ,http://bigtop.apache.org/                                                  ,management framework to manage hadoop clusters
Cocoon                       ," database,  graphics,  http,  network-client,  network-server,  web-framework, xml"                                                              ,web development framework                       ,http://cocoon.apache.org/                                                  ,Apache Coocon is a spring like framework
Crunch                       ," Big-data,  library"                                                                                                                             ,Map/Reduce framework                            ,http://crunch.apache.org/                                                  ,"Crunch provides a framework for writing, testing, and running MapReduce pipelines"
CXF                          ," library,  network-client,  network-service,  xml"                                                                                               ,service framework                               ,http://cxf.apache.org/                                                     ,… is an open source service framework
Felix                        ,network-server                                                                                                                                    ,osgi framework                                  ,http://felix.apache.org/                                                   ,allows adding plugins during runtime
Geronimo                     ," http,  javaee,  network-server,  web-framework"                                                                                                 ,osgi framework                                  ,http://geronimo.apache.org/                                                ,
Isis                         ,web-framework                                                                                                                                     ,framework                                       ,http://isis.apache.org/                                                    ,
Karaf                        ," Network-server,  osgi"                                                                                                                          ,osgi framework                                  ,http://karaf.apache.org/                                                   ,
Nutch                        ,web-framework                                                                                                                                     ,                                                ,https://nutch.apache.org/                                                  ,
OFBiz                        ," content,  database,  geospatial,  http,  network-server,  web-framework,  xml"                                                                  ,framework                                       ,https://ofbiz.apache.org/                                                  ,
Portals                      ,web-framework                                                                                                                                     ,                                                ,http://portals.apache.org/                                                 ,
Shiro                        ," library,  web-framework"                                                                                                                        ,framework                                       ,https://shiro.apache.org/                                                  ,
Sling                        ,no-category                                                                                                                                       ,Web-framework                                   ,https://sling.apache.org/                                                  ,
Tapestry                     ,web-framework                                                                                                                                     ,                                                ,http://tapestry.apache.org/                                                ,
Thrift                       ," http,  library,  network-client,  network-server"                                                                                               ,framework                                       ,http://thrift.apache.org/                                                  ,
Turbine                      ,web-framework                                                                                                                                     ,                                                ,http://turbine.apache.org/                                                 ,
Wicket                       ,web-framework                                                                                                                                     ,                                                ,                                                                           ,
ZooKeeper                    ,database                                                                                                                                          ,management framework                            ,https://zookeeper.apache.org/                                              ,
