Middleware
----------
Project                      ,Categories by Apache                                                                                                                              ,Category by studying documentation              ,Source                                                                     ,Reasoning
ActiveMQ                     ," Network-client, network-server"                                                                                                                 ,Message-oriented middleware                     ,"http://activemq.apache.org/, https://github.com/apache/activemq"          ,it is a messaging system
Axis2                        ," http,  network-client,  network-server,  xml"          ,communictaion engine              ,http://axis.apache.org/axis2/java/core                                     ,it is a Web Service Engine
Camel                        ," osgi,  big-data,  cloud,  integration,  iot,  java,  library,  network-client,  network-server"                                                 ,Message-oriented middleware                     ,Message-oriented middleware                                                ,Runs everywhere: standalone or as integration hence middleware
FtpServer       ,network-server      ,Middelware                                                                                        ,http://mina.apache.org/ftpserver-project/                                 ,
Guacamole       ,Network-client      ,network-server                                                                                    ,Middelware                                                                ,http://guacamole.apache.org/                                                                                                                          ,
MINA            ,Network-client      ,network-server                                                                                    ,Middelware                                                                ,http://mina.apache.org/
Qpid                         ," Network-server,  network-client"                                                                                                                ,message-oriented middleware                     ,http://qpid.apache.org/                                                    ,
Sandesha2       ,xml                 ,Middelware                                                                                        ,http://axis.apache.org/axis2/java/sandesha/                               ,
ServiceMix                   ," Network-client,  network-server,  osgi,  xml"                                                                                                   ,message-oriented middleware                     ,http://servicemix.apache.org/                                              ,it is an esb
Sqoop                        ,big-data                                                                                                                                          ,communication middleware                        ,http://sqoop.apache.org/                                                   ,
Synapse                      ," http,  network-client,  network-server,  xml"                                                                                                   ,message-oriented middleware                     ,http://synapse.apache.org/                                                 ,it is an esb
