Undetermined
------------
Project                      ,Categories by Apache                                                                                                                              ,Category by studying documentation              ,Source                                                                     ,Reasoning
Archiva                      ,build-management                                                                                                                                  ,not certain                                     ,http://archiva.apache.org/                                                 ,
Cayenne                      ," database,  java,  library,  network-server,  orm,  sql,  web-framework"                                                                         ,"data transformation, closest thing is library?",https://cayenne.apache.org/                                                ,it is used to transform java objects into database entities
Chukwa                       ,hadoop                                                                                                                                            ,plugin                                          ,https://chukwa.apache.org/docs/r0.6.0/Quick_Start_Guide.html               ,You integrate it to hadoop cluster to enhance monitoring
Clerezza                     ," content,  osgi"                                                                                                                                 ,?                                               ,http://clerezza.apache.org/                                                ,
CloudStack                   ,cloud                                                                                                                                             ,IaaS platform                                   ,http://cloudstack.apache.org/                                              ,It is IaaS cloud computing platform used to deploy and manage large networks
Daffodil                     ," Big-data,  library,  xml"                                                                                                                       ,?                                               ,https://daffodil.apache.org/                                               ,parses input into xml format. Example: csv file into xml format
Directory                    ," Network-client,  network-server"                                                                                                                ,?                                               ,http://directory.apache.org/                                               ,
Directory Studio             ," Network-client,  network-server"                                                                                                                ,client software                                 ,                                                                           ,
Edgent                       ," Big-data,  mobile,  network-client,  library"                                                                                                   ,maybe a library                                 ,http://edgent.incubator.apache.org/docs/application-development.html       ,two options: one include edfent jars in your own jar and create uber-jar
FtpServer                    ,network-server                                                                                                                                    ,ftp server                                      ,http://mina.apache.org/ftpserver-project/                                  ,
Groovy                       ,library                                                                                                                                           ,language??                                      ,                                                                           ,
Guacamole                    ," Network-client,  network-server"                                                                                                                ,clientless remote desktop gateway               ,http://guacamole.apache.org/                                               ,
Brooklyn                     ,cloud                                                                                                                                             ,standalone software system                      ,http://brooklyn.apache.org/                                                ,software to deploy and monitore your software project
Ignite                       ," Big-data,  cloud,  data-management-platform,  database,  distributed-sql-database,  hadoop,  iot,  network-client,  network-server,  osgi,  sql",in memory computing platform                    ,http://ignite.apache.org/                                                  ,
jclouds                      ," cloud,  library"                                                                                                                                ,???                                             ,jclouds                                                                    ,
ManifoldCF                   ,content                                                                                                                                           ,Framework ???                                   ,http://manifoldcf.apache.org/en_US/index.html#What+Is+Apache+ManifoldCF%3F ,
Marmotta                     ,no-category                                                                                                                                       ,???                                             ,http://marmotta.apache.org/                                                ,
MINA                         ," Network-client,  network-server"                                                                                                                ,library??                                       ,http://mina.apache.org/                                                    ,
Oozie                        ,big-data                                                                                                                                          ,???                                             ,http://oozie.apache.org/                                                   ,
Phoenix                      ," Big-data,  database"                                                                                                                            ,???                                             ,http://phoenix.apache.org/                                                 ,
Pig                          ,database                                                                                                                                          ,???                                             ,http://pig.apache.org/                                                     ,
REEF                         ,big-data                                                                                                                                          ,library??                                       ,http://reef.apache.org/                                                    ,
River                        ,javaee                                                                                                                                            ,library??                                       ,http://river.apache.org/user-doc/getting-started.html                      ,
Sandesha2                    ,xml                                                                                                                                               ,plugin??                                        ,http://axis.apache.org/axis2/java/sandesha/                                ,
Solr                         ," Network-server,  search,  web-framework"                                                                                                        ,???                                             ,https://lucene.apache.org/solr/                                            ,
Stanbol                      ,content                                                                                                                                           ,???                                             ,http://stanbol.apache.org/                                                 ,
Tajo                         ,big-data                                                                                                                                          ,data warehouse application                      ,http://tajo.apache.org/                                                    ,
TomEE                        ,network-server                                                                                                                                    ,Web-server                                      ,http://tomee.apache.org/                                                   ,
Torque                       ,database                                                                                                                                          ,???                                             ,http://db.apache.org/torque/torque-4.0/index.html                          ,
UIMA                         ,no-category                                                                                                                                       ,???                                             ,http://uima.apache.org/                                                    ,
Yetus                        ," Build-management,  library,  testing"                                                                                                           ,???                                             ,https://yetus.apache.org/                                                  ,
