Processing Engines
------------------
Project                      ,Categories by Apache                                                                                                                              ,Category by studying documentation              ,Source                                                                     ,Reasoning
Axis2                        ," http,  network-client,  network-server,  xml"                                                                                                   ,communictaion engine                            ,http://axis.apache.org/axis2/java/core                                     ,it is a Web Service Engine
Beam                         ,big-data                                                                                                                                          ,processing engine                               ,https://beam.apache.org/documentation/                                     ,Processing engine where you send a data model that then is processed using specific runners
Calcite                      ," big-data,  cloud,  network-server,  hadoop,  sql"                                                                                               ,(data) processing engine                        ,"https://calcite.apache.org/, https://en.wikipedia.org/wiki/Apache_Calcite",used to create databases and dbms application can connect to it at runtime
cTAKES                       ," content,  library"                                                                                                                              ,natural language processing system              ,http://ctakes.apache.org/                                                  ,cTakes is a natural language processing system
Flink                        ,big-data                                                                                                                                          ,processing engine                               ,https://flink.apache.org/flink-architecture.html                           ,
Flume                        ,big-data                                                                                                                                          ,processing engine                               ,http://flume.apache.org/releases/content/1.9.0/FlumeDeveloperGuide.html    ,
FOP                          ,graphics                                                                                                                                          ,processing engine                               ,https://xmlgraphics.apache.org/fop/                                        ,
Giraph                       ,bid-data                                                                                                                                          ,graph processing system/engine                  ,http://giraph.apache.org/                                                  ,
Hadoop Common                ,no-category-identified                                                                                                                            ,processing engine                               ,http://hadoop.apache.org/                                                  ,
Hadoop Development Tools     ,no-category-identified                                                                                                                            ,                                                ,                                                                           ,
Hadoop Distributed Data Store,no-category-identified                                                                                                                            ,                                                ,                                                                           ,
Hadoop HDFS                  ,no-category-identified                                                                                                                            ,                                                ,                                                                           ,
Hadoop Map/Reduce            ,no-category-identified                                                                                                                            ,                                                ,                                                                           ,
Hadoop YARN                  ,no-category-identified                                                                                                                            ,                                                ,                                                                           ,
Hama                         ,big-data                                                                                                                                          ,processing engine                               ,http://hama.apache.org/                                                    ,
JSPWiki                      ,content                                                                                                                                           ,wiki engine                                      ,https://projects.apache.org/project.html?jspwiki                           ,
Spark                        ,big-data                                                                                                                                          ,processing engine                               ,http://spark.apache.org/                                                   ,
Syncope                      ," security,  identity-management,  identity-provisioning"                                                                                         ,processing engine                               ,http://syncope.apache.org/                                                 ,
Zeppelin                     ,big-data                                                                                                                                          ,processing engine                               ,http://zeppelin.apache.org/                                                ,
