Project, Categories,
Abdera, "retired, xml",
Accumulo, "big-data",
ACE, "retired",
ActiveMQ, "network-client, network-server",
Airavata, "big-data, cloud, network-server",
Ambari, "big-data",
Anakia, "library",
Archiva, "build-management",
Aries, "library",
Axiom, "library, xml",
Axis2, "http, network-client, network-server, xml",
Beam, "big-data",
Beehive, "retired, web-framework",
Bigtop, "big-data",
Brooklyn, "cloud",
BVal, "java-ee, library",
Calcite, "big-data, geospatial, hadoop, sql",
Camel, "osgi, big-data, cloud, integration, iot, java, library, network-client, network-server",
CarbonData, "big-data",
Cassandra, "database",
Cayenne, "database, java, library, network-server, orm, sql, web-framework",
Chemistry, "library",
Chukwa, "hadoop",
Clerezza, "content, osgi",
Click, "library, network-client, network-server, retired, web-framework, xml",
CloudStack, "cloud",
Cocoon, "database, graphics, http, network-client, network-server, web-framework, xml",
Commons BCEL, "library",
Commons BeanUtils, "library",
Commons BSF, "library",
Commons Chain, "library",
Commons CLI, "library",
Commons Codec, "library",
Commons Collections, "library",
Commons Compress, "library",
Commons Configuration, "library",
Commons Daemon, "library",
Commons DBCP, "library",
Commons DbUtils, "library",
Commons Digester, "library",
Commons Discovery, "library",
Commons EL, "library",
Commons Email, "library",
Commons Exec, "library",
Commons FileUpload, "library",
Commons Functor, "library",
Commons IO, "library",
Commons JCI, "library",
Commons JCS, "library",
Commons Jelly, "library",
Commons JEXL, "library",
Commons JXPath, "library",
Commons Lang, "library",
Commons Launcher, "library",
Commons Logging, "library",
Commons Math, "library",
Commons Modeler, "library",
Commons Net, "library",
Commons OGNL, "library",
Commons Pool, "library",
Commons Proxy, "library",
Commons RNG, "broken-library-category",
Commons SCXML, "library",
Commons Validator, "library",
Commons VFS, "library",
Commons Weaver, "library",
Continuum, "build-management, retired",
Crunch, "big-data, library",
cTAKES, "content, library",
CXF, "library, network-client, network-service, xml",
Daffodil, "big-data, library, xml",
DataFu, "big-data",
DeltaSpike, "javaee",
Derby, "database"
DeviceMap, "mobile, retired",
Directory, "network-client, network-server",
Directory Studio, "network-client, network-server",
ECS, "library, retired",
Edgent, "big-data, mobile, network-client, library",
Etch, "library, network-client, network-server, retired",
Falcon, "big-data, retired",
Felix, "network-server",
Flink, "big-data",
Flume, "big-data",
FOP, "graphics",
Forrest, "build-management, database, graphics, http, network-client, network-server, retired, web-framework, xml",
FtpServer, "network-server",
Geronimo, "http, javaee, network-server, web-framework",
Giraph, "bid-data",
Groovy, "library",
Guacamole, "network-client, network-server",
Hadoop Common, "no-category-identified",
Hadoop Development Tools, "no-category-identified",
Hadoop Distributed Data Store, "no-category-identified",
Hadoop HDFS, "no-category-identified",
Hadoop Map/Reduce, "no-category-identified",
Hadoop YARN, "no-category-identified",
Hama, "big-data",
Harmony, "retired, virtual-machine",
HBase, "database",
Hive, "database, ",
Ignite, "big-data, cloud, data-management-platform, database, distributed-sql-database, hadoop, iot, network-client, network-server, osgi, sql",
Isis, "web-framework",
Ivy, "build-management",
IvyDE, "build-management",
jclouds, "cloud, library",
JSPWiki, "content",
Karaf, "network-server, osgi",
Log4j 2, "library",
Mahout, "library",
ManifoldCF, "content",
Marmotta, "no-category",
Maven, "build-management",
Maven Doxia, "build-management",
MINA, "network-client, network-server",
MRUnit, "library, retired",
Nutch, "web-framework",
ODE, "network-server, retired, xml",
OFBiz, "content, database, geospatial, http, network-server, web-framework, xml",
Olingo, "library",
Oozie, "big-data",
OpenJPA, "database, javaee, library",
OpenNLP, "library",
OpenWebBeans, "javaee",
ORC, "big-data, database, hadoop, library",
Parquet, "big-data",
PDFBox, "content, library",
Phoenix, "big-data, database",
Pig, "database",
Pivot, "library",
Polygene, "library, retired",
Portals, "web-framework",
Qpid, "network-server, network-client",
REEF, "big-data",
River, "javaee",
Sandesha2, "xml",
Santuario, "library, security, xml",
Scout, "xml",
ServiceMix, "network-client, network-server, osgi, xml",
Shale, "web-framework, retired",
Shindig, "javaee, retired",
Shiro, "library, web-framework",
Sling, "no-category",
Solr, "network-server, search, web-framework",
Spark, "big-data",
Sqoop, "big-data",
Stanbol, "content",
Stratos, "cloud, retired",
Synapse, "http, network-client, network-server, xml",
Syncope, "security, identity-management, identity-provisioning"
Tajo, "big-data",
Tapestry, "web-framework",
Texen, "library",
Thrift, "http, library, network-client, network-server",
Tika, "library, content",
Tiles, "retired, web-framework",
TomEE, "network-server",
Torque, "database",
Turbine, "web-framework",
Tuscany, "retired, web-framework",
UIMA, "no-category",
Velocity, "library",
Velocity Tools, "library",
VXQuery, "big-data, retired, xml",
Wicket, "web-framework",
Wink, "javaee, retired",
Woden, "xml",
Wookie, "web-framework, retired",
XMLBeans, "xml",
Yetus, "build-management, library, testing",
Zeppelin, "big-data",
ZooKeeper, "database"
