Project, Categories,
Accumulo, "big-data",
ActiveMQ, "network-client, network-server",
Airavata, "big-data, cloud, network-server",
Ambari, "big-data",
Anakia, "library",
Archiva, "build-management",
Aries, "library",
Axiom, "library, xml",
Axis2, "http, network-client, network-server, xml",
Beam, "big-data",
Bigtop, "big-data",
Brooklyn, "cloud",
BVal, "java-ee, library",
Calcite, "big-data, geospatial, hadoop, sql",
Camel, "osgi, big-data, cloud, integration, iot, java, library, network-client, network-server",
CarbonData, "big-data",
Cassandra, "database",
Cayenne, "database, java, library, network-server, orm, sql, web-framework",
Chemistry, "library",
Chukwa, "hadoop",
Clerezza, "content, osgi",
CloudStack, "cloud",
Cocoon, "database, graphics, http, network-client, network-server, web-framework, xml",
Commons BCEL, "library",
Commons BeanUtils, "library",
Commons BSF, "library",
Commons Chain, "library",
Commons CLI, "library",
Commons Codec, "library",
Commons Collections, "library",
Commons Compress, "library",
Commons Configuration, "library",
Commons Daemon, "library",
Commons DBCP, "library",
Commons DbUtils, "library",
Commons Digester, "library",
Commons Discovery, "library",
Commons EL, "library",
Commons Email, "library",
Commons Exec, "library",
Commons FileUpload, "library",
Commons Functor, "library",
Commons IO, "library",
Commons JCI, "library",
Commons JCS, "library",
Commons Jelly, "library",
Commons JEXL, "library",
Commons JXPath, "library",
Commons Lang, "library",
Commons Launcher, "library",
Commons Logging, "library",
Commons Math, "library",
Commons Modeler, "library",
Commons Net, "library",
Commons OGNL, "library",
Commons Pool, "library",
Commons Proxy, "library",
Commons RNG, "broken-library-category",
Commons SCXML, "library",
Commons Validator, "library",
Commons VFS, "library",
Commons Weaver, "library",
Crunch, "big-data, library",
cTAKES, "content, library",
CXF, "library, network-client, network-service, xml",
Daffodil, "big-data, library, xml",
DataFu, "big-data",
DeltaSpike, "javaee",
Derby, "database"
Directory, "network-client, network-server",
Directory Studio, "network-client, network-server",
Edgent, "big-data, mobile, network-client, library",
Felix, "network-server",
Flink, "big-data",
Flume, "big-data",
FOP, "graphics",
FtpServer, "network-server",
Geronimo, "http, javaee, network-server, web-framework",
Giraph, "bid-data",
Groovy, "library",
Guacamole, "network-client, network-server",
Hadoop Common, "no-category-identified",
Hadoop Development Tools, "no-category-identified",
Hadoop Distributed Data Store, "no-category-identified",
Hadoop HDFS, "no-category-identified",
Hadoop Map/Reduce, "no-category-identified",
Hadoop YARN, "no-category-identified",
Hama, "big-data",
HBase, "database",
Hive, "database, ",
Ignite, "big-data, cloud, data-management-platform, database, distributed-sql-database, hadoop, iot, network-client, network-server, osgi, sql",
Isis, "web-framework",
Ivy, "build-management",
IvyDE, "build-management",
jclouds, "cloud, library",
JSPWiki, "content",
Karaf, "network-server, osgi",
Log4j 2, "library",
Mahout, "library",
ManifoldCF, "content",
Marmotta, "no-category",
Maven, "build-management",
Maven Doxia, "build-management",
MINA, "network-client, network-server",
Nutch, "web-framework",
OFBiz, "content, database, geospatial, http, network-server, web-framework, xml",
Olingo, "library",
Oozie, "big-data",
OpenJPA, "database, javaee, library",
OpenNLP, "library",
OpenWebBeans, "javaee",
ORC, "big-data, database, hadoop, library",
Parquet, "big-data",
PDFBox, "content, library",
Phoenix, "big-data, database",
Pig, "database",
Pivot, "library",
Portals, "web-framework",
Qpid, "network-server, network-client",
REEF, "big-data",
River, "javaee",
Sandesha2, "xml",
Santuario, "library, security, xml",
Scout, "xml",
ServiceMix, "network-client, network-server, osgi, xml",
Shiro, "library, web-framework",
Sling, "no-category",
Solr, "network-server, search, web-framework",
Spark, "big-data",
Sqoop, "big-data",
Stanbol, "content",
Synapse, "http, network-client, network-server, xml",
Syncope, "security, identity-management, identity-provisioning"
Tajo, "big-data",
Tapestry, "web-framework",
Texen, "library",
Thrift, "http, library, network-client, network-server",
Tika, "library, content",
TomEE, "network-server",
Torque, "database",
Turbine, "web-framework",
UIMA, "no-category",
Velocity, "library",
Velocity Tools, "library",
Wicket, "web-framework",
Woden, "xml",
XMLBeans, "xml",
Yetus, "build-management, library, testing",
Zeppelin, "big-data",
ZooKeeper, "database"
